#P	T	V
2.35	300	521.116	0.076349
2.9	300	518.467	0.169992
3.5	300	516.838	0.0979563
4.54	300	513.028	0.179183
5.32	300	511.298	0.126029
6.11	300	509.851	0.0963055
6.93	300	508.152	0.0890232
7.46	300	507.362	0.1229
8.24	300	504.159	0.0758238
9.1	300	502.526	0.107896
10.15	300	499.649	0.0787712
11.05	300	498.168	0.101616
12.08	300	495.069	0.104761
13.15	300	492.904	0.0967803
14.44	300	490.449	0.147766
15.33	300	487.823	0.0972294
16.07	300	486.697	0.12715
17.2	300	483.313	0.183651
18.2	300	482.431	0.102601
19.01	300	481.153	0.114209
21	300	476.542	0.11476
21.95	300	473.937	0.116165
20.9	300	476.392	0.290957
16.05	300	487.627	0.377291
12.57	300	495.441	0.435783
8.91	300	502.76	0.309183
4.705	300	514.153	0.269553
0.0001	300	528.1	0.258726
0.0001	300	527.483	0.106935
2.06	300	521.083	0.778999
3.19	300	516.811	0.0622107
4.15	300	515.342	0.69999
5.125	300	511.752	0.2476
6.242	300	509.057	0.155306
7.35	300	507.618	1.66276
0.0001	300	528.104	0.0803621
